title,url,viewer_url,kogl_type1,parent_docid,mngno,docid,item_title,source_id
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0001",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0014177160&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0014177160,True,0014177160,BJCA000142,0014177160,운니동 0001,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0002",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420193&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420193,True,0014177160,BJCA000142,0049420193,운니동 0002,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0003",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420194&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420194,True,0014177160,BJCA000142,0049420194,운니동 0003,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0004",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420195&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420195,True,0014177160,BJCA000142,0049420195,운니동 0004,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0005",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049889482&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049889482,True,0014177160,BJCA000142,0049889482,운니동 0005,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0006",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420196&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420196,True,0014177160,BJCA000142,0049420196,운니동 0006,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0007",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420197&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420197,True,0014177160,BJCA000142,0049420197,운니동 0007,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0012",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049889484&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049889484,True,0014177160,BJCA000142,0049889484,운니동 0012,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0013",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420198&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420198,True,0014177160,BJCA000142,0049420198,운니동 0013,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0017",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420199&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420199,True,0014177160,BJCA000142,0049420199,운니동 0017,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0018",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049889486&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049889486,True,0014177160,BJCA000142,0049889486,운니동 0018,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0019",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420200&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420200,True,0014177160,BJCA000142,0049420200,운니동 0019,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0020",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420201&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420201,True,0014177160,BJCA000142,0049420201,운니동 0020,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0021",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049889488&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049889488,True,0014177160,BJCA000142,0049889488,운니동 0021,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0022",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420202&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420202,True,0014177160,BJCA000142,0049420202,운니동 0022,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0023",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420203&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420203,True,0014177160,BJCA000142,0049420203,운니동 0023,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0024",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049889491&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049889491,True,0014177160,BJCA000142,0049889491,운니동 0024,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0025",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420204&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420204,True,0014177160,BJCA000142,0049420204,운니동 0025,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0026",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420205&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420205,True,0014177160,BJCA000142,0049420205,운니동 0026,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0027",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049889493&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049889493,True,0014177160,BJCA000142,0049889493,운니동 0027,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0028",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420206&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420206,True,0014177160,BJCA000142,0049420206,운니동 0028,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0029",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420207&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420207,True,0014177160,BJCA000142,0049420207,운니동 0029,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0030",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049889495&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049889495,True,0014177160,BJCA000142,0049889495,운니동 0030,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0031",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420208&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420208,True,0014177160,BJCA000142,0049420208,운니동 0031,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0032",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420209&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420209,True,0014177160,BJCA000142,0049420209,운니동 0032,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0033",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049889497&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049889497,True,0014177160,BJCA000142,0049889497,운니동 0033,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0034",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420210&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420210,True,0014177160,BJCA000142,0049420210,운니동 0034,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0035",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420211&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420211,True,0014177160,BJCA000142,0049420211,운니동 0035,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0036",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049889499&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049889499,True,0014177160,BJCA000142,0049889499,운니동 0036,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0037",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420212&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420212,True,0014177160,BJCA000142,0049420212,운니동 0037,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0039",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420214&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420214,True,0014177160,BJCA000142,0049420214,운니동 0039,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0040",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049889501&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049889501,True,0014177160,BJCA000142,0049889501,운니동 0040,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0041",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420215&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420215,True,0014177160,BJCA000142,0049420215,운니동 0041,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0045",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420216&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420216,True,0014177160,BJCA000142,0049420216,운니동 0045,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0046",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049889503&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049889503,True,0014177160,BJCA000142,0049889503,운니동 0046,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0047",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420217&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420217,True,0014177160,BJCA000142,0049420217,운니동 0047,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0048",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420218&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420218,True,0014177160,BJCA000142,0049420218,운니동 0048,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0049",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049889505&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049889505,True,0014177160,BJCA000142,0049889505,운니동 0049,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0050",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420219&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420219,True,0014177160,BJCA000142,0049420219,운니동 0050,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0051",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049745772&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049745772,True,0014177160,BJCA000142,0049745772,운니동 0051,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0052",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049889416&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049889416,True,0014177160,BJCA000142,0049889416,운니동 0052,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0053",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420220&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420220,True,0014177160,BJCA000142,0049420220,운니동 0053,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0054",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420221&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420221,True,0014177160,BJCA000142,0049420221,운니동 0054,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0055",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420222&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420222,True,0014177160,BJCA000142,0049420222,운니동 0055,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0056",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049889417&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049889417,True,0014177160,BJCA000142,0049889417,운니동 0056,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0057",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420224&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420224,True,0014177160,BJCA000142,0049420224,운니동 0057,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0058",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420225&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420225,True,0014177160,BJCA000142,0049420225,운니동 0058,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0059",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049889419&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049889419,True,0014177160,BJCA000142,0049889419,운니동 0059,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0060",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420226&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420226,True,0014177160,BJCA000142,0049420226,운니동 0060,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0061",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049420227&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049420227,True,0014177160,BJCA000142,0049420227,운니동 0061,
"경기도 경성부 중부 종로2정목외16정-001[관철동,인사동,관훈동,낙원동,경운동,운니동] - 운니동 0062",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508329&docid=0049889480&mngno=BJCA000142&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0049889480,True,0014177160,BJCA000142,0049889480,운니동 0062,
"경기도 경성부 중부 종로2정목외16정-002[관철동,인사동,관훈동,낙원동,경운동,운니동] - 낙원동 0119",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508322&docid=0014177161&mngno=BJCA000143&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0014177161,True,0014177161,BJCA000143,0014177161,낙원동 0119,
"경기도 경성부 중부 종로2정목외16정-002[관철동,인사동,관훈동,낙원동,경운동,운니동] - 낙원동 0120",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508322&docid=0050402849&mngno=BJCA000143&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050402849,True,0014177161,BJCA000143,0050402849,낙원동 0120,
"경기도 경성부 중부 종로2정목외16정-002[관철동,인사동,관훈동,낙원동,경운동,운니동] - 낙원동 0121",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508322&docid=0050576796&mngno=BJCA000143&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050576796,True,0014177161,BJCA000143,0050576796,낙원동 0121,
"경기도 경성부 중부 종로2정목외16정-002[관철동,인사동,관훈동,낙원동,경운동,운니동] - 낙원동 0122",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508322&docid=0050402850&mngno=BJCA000143&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050402850,True,0014177161,BJCA000143,0050402850,낙원동 0122,
"경기도 경성부 중부 종로2정목외16정-002[관철동,인사동,관훈동,낙원동,경운동,운니동] - 낙원동 0123",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508322&docid=0050402851&mngno=BJCA000143&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050402851,True,0014177161,BJCA000143,0050402851,낙원동 0123,
"경기도 경성부 중부 종로2정목외16정-002[관철동,인사동,관훈동,낙원동,경운동,운니동] - 낙원동 0124",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508322&docid=0050576797&mngno=BJCA000143&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050576797,True,0014177161,BJCA000143,0050576797,낙원동 0124,
"경기도 경성부 중부 종로2정목외16정-002[관철동,인사동,관훈동,낙원동,경운동,운니동] - 낙원동 0125",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508322&docid=0050402852&mngno=BJCA000143&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050402852,True,0014177161,BJCA000143,0050402852,낙원동 0125,
"경기도 경성부 중부 종로2정목외16정-002[관철동,인사동,관훈동,낙원동,경운동,운니동] - 낙원동 0126",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508322&docid=0050402853&mngno=BJCA000143&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050402853,True,0014177161,BJCA000143,0050402853,낙원동 0126,
"경기도 경성부 중부 종로2정목외16정-002[관철동,인사동,관훈동,낙원동,경운동,운니동] - 낙원동 0127",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508322&docid=0050576798&mngno=BJCA000143&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050576798,True,0014177161,BJCA000143,0050576798,낙원동 0127,
"경기도 경성부 중부 종로2정목외16정-002[관철동,인사동,관훈동,낙원동,경운동,운니동] - 낙원동 0128",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508322&docid=0050402854&mngno=BJCA000143&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050402854,True,0014177161,BJCA000143,0050402854,낙원동 0128,
"경기도 경성부 중부 종로2정목외16정-002[관철동,인사동,관훈동,낙원동,경운동,운니동] - 낙원동 0129",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508322&docid=0050402855&mngno=BJCA000143&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050402855,True,0014177161,BJCA000143,0050402855,낙원동 0129,
"경기도 경성부 중부 종로2정목외16정-002[관철동,인사동,관훈동,낙원동,경운동,운니동] - 낙원동 0130",https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508322&docid=0050576799&mngno=BJCA000143&want=0&formType=oldName&rtURL=,https://theme.archives.go.kr/viewer/common/archWebViewer.do?singleData=Y&archiveEventId=0050576799,True,0014177161,BJCA000143,0050576799,낙원동 0130,
